"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2022","19.587","19.235","19.745","18.760","82.52K","0.72%"
"09/21/2022","19.447","19.660","19.890","19.250","63.37K","1.57%"
"09/20/2022","19.146","19.525","19.960","19.230","70.73K","-0.90%"
"09/19/2022","19.319","19.555","19.605","19.070","42.27K","0.48%"
"09/15/2022","19.227","19.410","19.640","18.770","58.15K","-1.53%"
"09/14/2022","19.525","19.265","19.625","19.110","50.66K","0.39%"
"09/13/2022","19.449","19.410","19.685","19.215","47.43K","-1.85%"
"09/12/2022","19.816","18.810","19.930","19.295","76.43K","7.68%"
"09/08/2022","18.402","18.325","18.860","18.445","43.86K","1.00%"
"09/07/2022","18.220","17.820","18.665","18.240","53.20K","1.97%"
"09/06/2022","17.868","17.845","18.400","17.740","49.64K","1.34%"
"09/01/2022","17.632","17.700","18.165","17.620","62.96K","-1.22%"
"08/31/2022","17.849","17.960","17.865","17.400","66.96K","-2.17%"
"08/30/2022","18.244","18.675","18.390","17.800","63.46K","-1.92%"
"08/29/2022","18.602","18.750","18.700","18.225","58.00K","-2.85%"
"08/25/2022","19.147","19.155","19.345","18.680","53.72K","1.08%"
"08/24/2022","18.942","19.045","19.260","18.955","46.31K","-0.64%"
"08/23/2022","19.064","18.885","19.105","18.815","42.82K","0.77%"
"08/22/2022","18.918","19.050","19.155","18.650","52.28K","-3.02%"
"08/18/2022","19.508","19.810","19.480","18.925","55.57K","-1.36%"
"08/17/2022","19.776","20.205","19.885","19.410","46.16K","-1.75%"
"08/16/2022","20.128","20.265","20.240","19.630","49.57K","-0.93%"
"08/15/2022","20.317","20.810","20.250","19.860","41.92K","-0.38%"
"08/11/2022","20.394","20.610","20.850","20.190","46.59K","-1.90%"
"08/10/2022","20.790","20.545","20.605","20.190","56.53K","1.26%"
"08/09/2022","20.531","20.670","20.830","20.315","65.02K","-0.64%"
"08/08/2022","20.664","19.825","20.740","20.400","53.85K","2.43%"
"08/04/2022","20.173","20.015","20.280","19.470","62.13K","1.13%"
"08/03/2022","19.947","19.920","20.380","19.930","49.82K","-1.20%"
"08/02/2022","20.189","20.460","20.140","19.750","47.27K","-1.09%"
"08/01/2022","20.412","20.500","20.495","19.915","64.54K","2.48%"
"07/28/2022","19.918","19.185","20.350","19.825","64.59K","7.09%"
"07/27/2022","18.600","18.535","20.000","19.010","86.52K","0.35%"
"07/26/2022","18.535","18.330","19.095","18.360","62.26K","1.13%"
"07/25/2022","18.328","18.540","18.620","18.285","40.82K","-2.09%"
"07/21/2022","18.719","18.610","18.880","18.420","47.28K","0.27%"
"07/20/2022","18.668","18.695","18.805","18.120","58.42K","-0.24%"
"07/19/2022","18.713","18.655","19.030","18.565","42.47K","-0.67%"
"07/18/2022","18.840","18.675","18.845","18.510","36.80K","3.37%"
"07/14/2022","18.225","19.180","18.695","18.095","53.07K","-5.05%"
"07/13/2022","19.194","18.870","19.180","18.010","82.27K","1.24%"
"07/12/2022","18.958","19.055","19.360","18.790","63.75K","-0.91%"
"07/11/2022","19.132","19.265","19.135","18.630","53.27K","-0.29%"
"07/07/2022","19.188","19.170","19.390","18.935","43.11K","0.15%"
"07/06/2022","19.159","19.155","19.435","19.035","42.48K","0.20%"
"07/05/2022","19.121","19.880","19.325","18.705","66.25K","-6.05%"
"06/30/2022","20.352","20.725","20.290","19.295","75.67K","-1.86%"
"06/29/2022","20.738","20.840","20.785","20.145","61.10K","-0.48%"
"06/28/2022","20.839","21.170","21.065","20.610","53.00K","-1.60%"
"06/27/2022","21.178","21.245","21.355","20.720","42.01K","0.58%"
"06/23/2022","21.056","21.435","21.205","20.545","72.54K","-1.91%"
"06/22/2022","21.465","21.555","21.495","20.890","71.94K","-1.60%"
"06/21/2022","21.813","21.600","21.675","21.205","55.92K","-0.52%"
"06/16/2022","21.928","21.705","21.965","21.560","43.90K","2.17%"
"06/15/2022","21.463","21.260","21.970","21.320","52.32K","2.20%"
"06/14/2022","21.000","21.120","21.845","20.970","70.54K","-1.43%"
"06/13/2022","21.305","22.080","21.360","20.845","59.21K","-2.56%"
"06/09/2022","21.864","22.135","22.020","21.235","78.78K","-1.28%"
"06/08/2022","22.148","22.120","22.165","21.535","63.62K","-0.38%"
"06/07/2022","22.233","22.310","22.275","21.795","44.94K","0.39%"
"06/06/2022","22.147","22.310","22.300","21.840","51.45K","-0.82%"
"06/02/2022","22.330","21.950","22.525","21.860","37.47K","1.68%"
"06/01/2022","21.962","21.540","22.380","21.785","35.94K","1.04%"
"05/31/2022","21.737","21.815","21.995","21.410","51.15K","-1.04%"
"05/26/2022","21.965","21.975","22.475","21.940","38.41K","0.43%"
"05/25/2022","21.870","22.115","22.075","21.730","29.70K","-0.87%"
"05/24/2022","22.063","21.770","22.145","21.725","32.08K","1.57%"
"05/23/2022","21.723","21.780","22.215","21.645","36.83K","-0.84%"
"05/19/2022","21.908","21.430","22.080","21.580","34.79K","1.69%"
"05/18/2022","21.544","21.665","22.010","21.250","41.28K","-0.95%"
"05/17/2022","21.750","21.650","21.750","21.365","33.87K","0.92%"
"05/16/2022","21.551","21.105","21.925","21.520","39.23K","3.75%"
"05/12/2022","20.773","21.555","21.125","20.420","58.68K","-3.72%"
"05/11/2022","21.575","21.210","21.625","20.590","82.00K","0.70%"
"05/10/2022","21.424","21.770","21.970","21.200","80.77K","-1.81%"
"05/09/2022","21.820","22.395","22.085","21.155","78.50K","-2.78%"
"05/05/2022","22.443","23.040","22.665","22.110","59.54K","0.18%"
"05/04/2022","22.402","22.600","23.345","22.325","71.88K","-1.16%"
"05/03/2022","22.665","22.700","23.125","22.220","58.06K","0.36%"
"05/02/2022","22.584","22.785","22.890","22.440","43.73K","-2.58%"
"04/28/2022","23.181","23.365","23.650","22.710","55.33K","-1.29%"
"04/27/2022","23.483","23.650","23.455","22.940","57.59K","-0.38%"
"04/26/2022","23.572","23.790","23.765","23.275","37.58K","-0.53%"
"04/25/2022","23.698","24.180","23.975","23.445","45.15K","-3.89%"
"04/21/2022","24.657","25.300","24.740","24.080","65.63K","-2.55%"
"04/20/2022","25.303","25.210","25.310","24.480","69.61K","-0.48%"
"04/19/2022","25.426","26.045","25.400","24.980","44.95K","-2.88%"
"04/18/2022","26.181","26.110","26.195","25.165","65.30K","0.46%"
"04/13/2022","26.060","25.620","26.115","25.460","51.61K","1.13%"
"04/12/2022","25.769","25.275","26.070","25.530","62.66K","2.99%"
"04/11/2022","25.022","24.985","25.840","25.025","74.87K","0.96%"
"04/07/2022","24.785","24.515","24.935","24.495","50.94K","1.13%"
"04/06/2022","24.509","24.625","24.780","24.335","48.61K","-0.32%"
"04/05/2022","24.588","24.900","24.680","24.200","47.18K","-0.19%"
"04/04/2022","24.636","24.750","25.110","24.355","49.22K","-2.07%"
"03/31/2022","25.158","24.780","25.040","24.565","44.25K","0.05%"
"03/30/2022","25.146","25.010","25.285","24.670","36.61K","1.66%"
"03/29/2022","24.736","25.010","25.265","24.855","38.79K","-1.83%"
"03/28/2022","25.196","25.725","25.135","24.045","76.19K","-2.79%"
"03/24/2022","25.920","25.285","26.035","25.470","37.91K","2.90%"
"03/23/2022","25.189","24.915","26.160","25.170","61.00K","1.14%"
"03/22/2022","24.904","25.410","25.370","24.780","34.15K","-1.62%"
"03/21/2022","25.313","25.150","25.590","24.695","45.76K","-1.18%"
"03/17/2022","25.616","25.240","25.640","24.980","38.06K","3.67%"
"03/16/2022","24.710","25.115","25.750","25.165","40.14K","-1.78%"
"03/15/2022","25.158","25.260","25.250","24.550","46.30K","-0.55%"
"03/14/2022","25.298","26.280","25.315","24.750","47.79K","-3.65%"
"03/10/2022","26.256","26.060","26.350","25.695","51.55K","1.70%"
"03/09/2022","25.816","26.925","26.425","25.600","55.85K","-4.01%"
"03/08/2022","26.895","25.805","27.390","25.730","87.11K","4.57%"
"03/07/2022","25.720","26.025","27.495","25.550","127.21K","2.01%"
"03/03/2022","25.212","25.450","25.920","25.155","70.86K","0.09%"
"03/02/2022","25.190","25.505","25.665","25.075","57.47K","-1.37%"
"03/01/2022","25.541","24.455","25.545","24.960","69.47K","4.82%"
"02/28/2022","24.366","24.620","25.650","24.345","68.56K","-1.34%"
"02/24/2022","24.697","24.655","24.550","23.920","67.32K","0.50%"
"02/23/2022","24.574","24.140","25.670","23.860","107.56K","1.00%"
"02/22/2022","24.331","24.080","24.620","24.050","62.69K","1.79%"
"02/17/2022","23.903","23.580","24.115","23.700","52.87K","1.14%"
"02/16/2022","23.633","23.425","23.930","23.440","60.05K","1.13%"
"02/15/2022","23.369","24.010","23.670","23.290","47.87K","-2.13%"
"02/14/2022","23.877","23.700","24.015","23.070","61.87K","1.41%"
"02/10/2022","23.545","23.680","23.710","22.855","77.04K","0.78%"
"02/09/2022","23.362","23.290","23.735","23.145","77.91K","0.61%"
"02/08/2022","23.221","22.845","23.365","23.095","52.98K","0.53%"
"02/07/2022","23.098","22.575","23.265","22.770","52.51K","3.13%"
"02/03/2022","22.397","22.635","22.690","22.100","47.76K","-1.47%"
"02/02/2022","22.730","22.675","22.660","21.985","55.03K","0.50%"
"02/01/2022","22.618","22.750","22.875","22.465","38.34K","0.89%"
"01/31/2022","22.419","22.575","23.060","22.405","48.40K","-1.13%"
"01/27/2022","22.676","23.565","22.830","22.150","63.81K","-4.75%"
"01/26/2022","23.807","23.850","23.625","22.585","82.12K","-0.37%"
"01/25/2022","23.896","24.045","24.025","23.460","55.62K","0.40%"
"01/24/2022","23.800","24.305","24.045","23.635","53.18K","-3.71%"
"01/20/2022","24.716","24.185","24.640","24.205","62.05K","2.00%"
"01/19/2022","24.231","23.505","24.755","24.125","75.61K","3.15%"
"01/18/2022","23.492","22.995","24.265","23.430","73.90K","1.42%"
"01/13/2022","23.162","23.190","23.345","22.845","50.67K","-0.19%"
"01/12/2022","23.207","22.820","23.315","23.025","53.38K","1.73%"
"01/11/2022","22.812","22.500","23.260","22.680","55.76K","1.56%"
"01/10/2022","22.462","22.385","22.860","22.480","48.87K","1.23%"
"01/06/2022","22.190","22.810","22.460","21.945","57.76K","-4.23%"
"01/05/2022","23.170","23.095","22.850","22.000","73.89K","0.49%"
"01/04/2022","23.056","22.920","23.300","22.750","41.19K","1.08%"
"01/03/2022","22.810","23.385","23.140","22.655","44.91K","-1.08%"
"12/30/2021","23.060","22.870","23.390","23.070","30.39K","0.92%"
"12/29/2021","22.850","23.000","23.155","22.630","30.54K","-1.14%"
"12/28/2021","23.113","23.170","23.185","22.600","40.03K","0.57%"
"12/27/2021","22.981","22.880","23.480","23.005","42.75K","0.78%"
"12/22/2021","22.804","22.455","22.965","22.680","33.91K","1.29%"
"12/21/2021","22.513","22.240","22.860","22.440","35.70K","1.04%"
"12/20/2021","22.281","22.260","22.805","22.185","45.67K","-0.85%"
"12/16/2021","22.471","22.165","22.690","22.355","39.31K","4.37%"
"12/15/2021","21.530","21.825","22.560","21.930","56.37K","-1.73%"
"12/14/2021","21.909","21.910","22.130","21.410","65.04K","-1.82%"
"12/13/2021","22.315","22.230","22.355","21.670","52.45K","1.43%"
"12/09/2021","22.001","22.435","22.240","21.815","43.90K","-1.88%"
"12/08/2021","22.422","22.415","22.475","21.840","58.89K","-0.40%"
"12/07/2021","22.512","22.310","22.580","22.305","28.91K","1.17%"
"12/06/2021","22.252","22.530","22.625","22.230","38.83K","-0.23%"
"12/02/2021","22.304","22.480","22.590","22.035","54.13K","-0.09%"
"12/01/2021","22.324","22.945","22.505","22.215","45.19K","-2.08%"
"11/30/2021","22.799","22.870","23.060","22.185","65.42K","-0.16%"
"11/29/2021","22.836","23.160","23.355","22.705","68.03K","-2.88%"
"11/24/2021","23.514","23.680","23.735","22.915","61.28K","0.26%"
"11/23/2021","23.452","24.245","23.695","23.400","54.62K","-3.56%"
"11/22/2021","24.318","24.670","24.340","23.280","93.87K","-2.41%"
"11/18/2021","24.919","25.200","25.040","24.610","67.98K","-1.06%"
"11/17/2021","25.185","24.880","25.230","24.730","63.62K","0.89%"
"11/16/2021","24.963","25.185","25.285","24.850","54.35K","-0.64%"
"11/15/2021","25.124","25.420","25.490","24.825","77.00K","-0.77%"
"11/11/2021","25.320","24.735","25.470","24.925","66.39K","2.13%"
"11/10/2021","24.791","24.315","25.365","24.645","82.02K","1.87%"
"11/09/2021","24.337","24.545","25.220","24.040","131.56K","-0.91%"
"11/08/2021","24.561","24.170","24.565","24.090","65.11K","2.64%"
"11/04/2021","23.930","23.635","24.255","23.665","73.24K","2.92%"
"11/03/2021","23.251","23.565","24.115","23.485","68.46K","-1.16%"
"11/02/2021","23.524","24.120","23.665","23.045","67.16K","-2.35%"
"11/01/2021","24.091","23.990","24.140","23.430","63.00K","-0.20%"
"10/28/2021","24.139","24.150","24.140","23.705","57.80K","-0.21%"
"10/27/2021","24.191","24.220","24.310","24.020","45.96K","0.43%"
"10/26/2021","24.088","24.650","24.330","23.905","48.09K","-2.05%"
"10/25/2021","24.592","24.395","24.655","23.925","61.76K","1.75%"
"10/21/2021","24.170","24.370","24.920","24.185","83.28K","-1.12%"
"10/20/2021","24.445","23.710","24.550","24.070","58.68K","2.35%"
"10/19/2021","23.883","23.250","24.495","23.615","73.13K","2.66%"
"10/18/2021","23.264","23.380","24.180","23.220","79.07K","-0.91%"
"10/14/2021","23.477","23.100","23.645","23.100","52.25K","1.32%"
"10/13/2021","23.170","22.570","23.625","22.925","54.28K","2.91%"
"10/12/2021","22.514","22.610","23.285","22.480","71.90K","-0.67%"
"10/11/2021","22.665","22.685","22.790","22.325","42.93K","0.03%"
