,AUDUSD,BRLUSD,Bitcoin,Oil,EURUSD,GBPUSD,Gold,JPYUSD,ZARUSD,ASX50,Ibovespa,FTSE100,SP500,JSE40,NIKKEI225,EUROSTOXX50,VIX,US_10Y,DE_10Y,UK_10Y,JP_10Y,AU_10Y,ZA_10Y
2016-10-25,0.7594167590141296,0.3200511932373047,657.5880126953125,49.959999084472656,1.0875475406646729,1.2217471599578857,1271.9000244140625,0.009585797786712646,0.07190845906734467,5523.2998046875,63866.0,7017.60009765625,2143.159912109375,45201.6015625,17365.25,3087.409912109375,13.460000038146973,1.77,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-26,0.7650523781776428,0.32150205969810486,678.3040161132812,49.18000030517578,1.0887316465377808,1.217581868171692,1264.800048828125,0.009601167403161526,0.07274949550628662,5442.10009765625,63826.0,6958.10009765625,2139.429931640625,45011.08984375,17391.83984375,3080.97998046875,14.239999771118164,1.79,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-27,0.7649939060211182,0.3185931146144867,688.31298828125,49.720001220703125,1.091202735900879,1.2235409021377563,1267.9000244140625,0.009563611820340157,0.07208558171987534,5378.39990234375,64250.0,6986.60009765625,2133.0400390625,44591.05078125,17336.419921875,3085.169921875,15.359999656677246,1.85,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-28,0.759013295173645,0.31592583656311035,689.6510009765625,48.70000076293945,1.0900371074676514,1.2171372175216675,1275.5,0.009504890069365501,0.07222981005907059,5370.89990234375,64308.0,6996.2998046875,2126.409912109375,44308.171875,17446.41015625,3079.239990234375,16.190000534057617,1.86,-0.084090909,0.8243,-0.085,2.004,8.675
2016-10-31,0.7598206996917725,0.31219756603240967,700.9719848632812,46.86000061035156,1.0984665155410767,1.2215979099273682,1271.5,0.009563429281115532,0.07258684933185577,5402.39990234375,64925.0,6954.2001953125,2126.14990234375,44019.390625,17425.01953125,3055.25,17.059999465942383,1.84,-0.084090909,0.8243,-0.085,2.004,8.675
2016-11-01,0.7607455253601074,0.3126758933067322,729.7930297851562,46.66999816894531,1.0973334312438965,1.2236906290054321,1286.4000244140625,0.009540163911879063,0.074283167719841,5375.2001953125,63326.0,6917.10009765625,2111.719970703125,44444.48046875,17442.400390625,3023.14990234375,18.559999465942383,1.83,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-04,0.768580436706543,0.3068991005420685,703.2349853515625,44.06999969482422,1.1102476119995117,1.2468827962875366,1303.300048828125,0.009703838266432285,0.07445240020751953,5263.10009765625,61598.0,6693.2998046875,2085.179931640625,43229.6484375,16905.359375,2954.530029296875,22.510000228881836,1.79,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-07,0.7678722143173218,0.3093772232532501,703.1309814453125,44.88999938964844,1.1101243495941162,1.248907208442688,1278.300048828125,0.009597389958798885,0.07391911745071411,5330.89990234375,64052.0,6806.89990234375,2131.52001953125,43842.8203125,17177.2109375,3009.280029296875,18.709999084472656,1.83,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-08,0.7720219492912292,0.3124121129512787,709.8480224609375,44.97999954223633,1.1052166223526,1.2399256229400635,1273.4000244140625,0.009575058706104755,0.07476523518562317,5342.2001953125,64158.0,6843.10009765625,2139.56005859375,44199.7890625,17171.380859375,3023.429931640625,18.739999771118164,1.88,0.189090909,1.3818,0.02,2.535,8.9040909091
2016-11-09,0.7745933532714844,0.31564658880233765,723.2730102539062,45.27000045776367,1.1019041538238525,1.2388503551483154,1272.5999755859375,0.009521089494228363,0.07557887583971024,5238.2998046875,63258.0,6911.7998046875,2163.260009765625,44494.26953125,16251.5400390625,3056.2900390625,14.380000114440918,2.07,0.189090909,1.3818,0.02,2.535,8.9040909091
