"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2015","46,693.26","45,668.35","46,693.26","45,668.35","104.44M","2.24%"
"10/06/2015","46,624.38","46,693.26","46,885.27","46,392.44","138.39M","-0.15%"
"10/07/2015","47,162.94","46,624.38","47,321.70","46,624.38","159.13M","1.16%"
"10/08/2015","47,293.81","47,162.94","47,301.87","46,954.76","83.57M","0.28%"
"10/09/2015","47,809.88","47,293.81","48,151.26","47,293.81","126.68M","1.09%"
"10/12/2015","47,241.76","47,809.88","48,081.50","47,169.03","119.60M","-1.19%"
"10/13/2015","47,643.86","47,241.76","47,836.70","47,185.88","112.06M","0.85%"
"10/14/2015","47,612.14","47,643.86","47,918.70","47,329.28","92.59M","-0.07%"
"10/15/2015","47,462.98","47,612.14","47,830.39","47,382.17","101.87M","-0.31%"
"10/16/2015","47,459.95","47,462.98","47,784.05","47,445.39","130.78M","-0.01%"
"10/19/2015","47,720.17","47,459.95","47,724.78","47,199.96","131.03M","0.55%"
"10/20/2015","47,410.34","47,720.17","47,720.17","47,093.21","131.28M","-0.65%"
"10/21/2015","47,594.59","47,410.34","47,985.06","47,270.83","110.28M","0.39%"
"10/22/2015","47,814.72","47,594.59","48,054.01","47,472.08","117.78M","0.46%"
"10/23/2015","48,799.45","47,814.72","48,809.15","47,814.72","130.44M","2.06%"
"10/26/2015","48,569.26","48,799.45","49,100.63","48,430.30","119.57M","-0.47%"
"10/27/2015","48,231.26","48,569.26","48,569.26","48,093.06","122.14M","-0.70%"
"10/28/2015","48,189.15","48,231.26","48,246.04","47,927.49","100.10M","-0.09%"
"10/29/2015","47,941.01","48,189.15","48,207.66","47,661.22","104.94M","-0.51%"
"10/30/2015","48,317.45","47,941.01","48,402.69","47,887.53","118.35M","0.79%"
"11/02/2015","48,349.52","48,317.45","48,363.82","47,957.53","103.84M","0.07%"
"11/03/2015","48,548.21","48,349.52","48,619.78","48,209.17","106.19M","0.41%"
"11/04/2015","49,081.01","48,548.21","49,228.75","48,548.21","124.72M","1.10%"
"11/05/2015","48,553.57","49,081.01","49,102.12","48,336.37","130.32M","-1.07%"
"11/06/2015","47,540.77","48,553.57","48,613.77","47,321.21","112.21M","-2.09%"
"11/09/2015","47,964.96","47,540.77","47,964.96","47,490.57","89.57M","0.89%"
"11/10/2015","47,201.94","47,964.96","47,977.93","46,981.05","117.17M","-1.59%"
"11/11/2015","47,265.83","47,201.94","47,473.77","47,026.57","106.96M","0.14%"
