Date,ABG.JO,AGL.JO,ANG.JO,APN.JO,BTI.JO,BVT.JO,CLS.JO,CPI.JO,DSY.JO,EXX.JO,FSR.JO,GFI.JO,GLN.JO,GRT.JO,IMP.JO,INL.JO,INP.JO,MNP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,NRP.JO,REM.JO,RMH.JO,SBK.JO,SHP.JO,SLM.JO,SOL.JO,VOD.JO,WHL.JO
2024-08-29,17663.66796875,51596.23046875,53685.9453125,23781.4296875,65570.703125,29457.451171875,36618.1640625,294845.875,15382.873046875,16295.5009765625,8661.900390625,25282.419921875,9346.8642578125,1404.6318359375,8234.75,13532.7529296875,13422.861328125,34469.49609375,24239.369140625,9250.703125,29768.052734375,71865.7265625,14352.8779296875,14645.26953125,39.0,24224.607421875,31059.25,8896.40625,14310.0,11141.5283203125,6554.05029296875
2024-08-30,17557.83984375,50677.3203125,52888.9765625,23989.34765625,65930.2734375,29097.724609375,37353.86328125,292519.46875,15295.896484375,15975.98046875,8587.9853515625,24776.771484375,9334.8642578125,1407.6268310546875,7697.89697265625,13548.736328125,13535.75,34465.5,24227.375,8880.9150390625,29620.294921875,73549.3984375,14421.8740234375,14443.3759765625,40.0,23969.9296875,30991.28515625,8879.423828125,13758.0,10995.6396484375,6461.12060546875
2024-09-02,17532.880859375,51456.671875,52543.98828125,23732.451171875,66669.3671875,28506.17578125,37228.9140625,294203.03125,15240.9091796875,15756.310546875,8540.0419921875,24605.88671875,9387.8623046875,1385.6636962890625,8297.732421875,13557.7275390625,13620.6689453125,34742.34375,24346.3125,8759.984375,29688.185546875,72859.6484375,14348.87890625,14603.2919921875,40.0,23873.05078125,31320.107421875,8571.755859375,13416.0,11033.6103515625,6440.13671875
2024-09-03,17155.482421875,48840.49609375,51401.03125,20591.71484375,67498.375,28235.384765625,36904.05078125,288926.375,15057.9599609375,15277.03125,8437.1611328125,24773.7734375,8998.8681640625,1384.6654052734375,7799.86865234375,13399.8828125,13481.8037109375,34119.6953125,23549.7265625,8605.0732421875,29276.861328125,72839.4453125,14598.8583984375,14285.4609375,39.0,23479.544921875,29484.1015625,8497.8359375,12747.0,11008.6298828125,6262.271484375
2024-09-04,17216.384765625,48649.83984375,51212.0390625,20178.880859375,67674.1640625,27975.5859375,36659.14453125,289573.21875,14911.9990234375,15376.880859375,8512.0751953125,24355.0625,8929.8701171875,1388.65869140625,7519.9453125,13403.8779296875,13548.7392578125,33660.95703125,23284.865234375,8752.98828125,28867.107421875,71994.5078125,14617.8583984375,14367.416015625,39.0,23815.125,29733.962890625,8474.8603515625,12866.0,10996.6396484375,6107.38818359375
2024-09-05,17256.322265625,48584.96875,51643.02734375,20023.94140625,67846.953125,28541.15234375,36720.12109375,290631.96875,15048.962890625,15376.880859375,8498.0908203125,24383.04296875,8899.8701171875,1403.633544921875,7572.9306640625,13315.96484375,13440.84375,33680.9453125,22988.021484375,9097.791015625,28309.83984375,72824.2421875,14678.853515625,14440.3779296875,40.0,23462.564453125,30224.701171875,8534.796875,12935.0,11101.5576171875,6293.24755859375
2024-09-06,17110.556640625,46780.578125,51214.0390625,19919.984375,68358.3359375,27997.568359375,36904.05078125,287592.71875,15047.962890625,15351.9189453125,8470.123046875,23887.38671875,8625.8740234375,1439.57275390625,7470.958984375,13328.9521484375,13365.9169921875,33241.1953125,22930.05078125,9186.740234375,28262.90234375,70717.0078125,14714.8505859375,14432.3818359375,40.0,23331.728515625,29978.83203125,8413.9267578125,12684.0,10986.646484375,6408.16064453125
2024-09-09,17166.466796875,46628.24609375,50858.0546875,19306.23046875,69352.125,27716.78515625,37011.00390625,295349.75,15044.962890625,15306.986328125,8526.0576171875,24034.287109375,8650.8740234375,1448.5577392578125,7135.05029296875,13217.0615234375,13237.04296875,33545.01953125,22968.029296875,9149.76171875,28249.919921875,70980.1875,14782.8447265625,14457.369140625,39.0,23378.669921875,29747.955078125,8430.908203125,12400.0,11079.576171875,6369.19091796875
2024-09-10,17297.255859375,45865.609375,47956.1640625,19237.259765625,69475.9765625,27737.765625,37527.79296875,300518.40625,15006.9736328125,15206.1376953125,8678.8798828125,24027.291015625,8534.875,1453.54931640625,7347.99267578125,13313.966796875,13319.9619140625,33431.0859375,23577.712890625,9237.7109375,28412.705078125,70610.8203125,14818.841796875,14486.3544921875,40.0,23696.271484375,29983.83203125,8512.8203125,12221.0,11148.5224609375,6378.18359375
2024-09-11,16454.125,46052.33203125,48255.1484375,19147.294921875,69331.1640625,27756.751953125,37517.80078125,300518.40625,14842.0185546875,15177.181640625,8552.0263671875,23486.59765625,8460.8759765625,1420.604736328125,7272.0126953125,13335.9443359375,13296.9853515625,32878.39453125,23726.634765625,9194.7353515625,28261.90234375,70451.8359375,14844.83984375,14410.3935546875,40.0,22768.583984375,29661.00390625,8451.8857421875,11670.0,11021.6201171875,6250.27978515625
